ÍTEM,QUANTIDADE,ALMOXARIFADO
OCHIMA 5l,9.5,ALMOX 4
GANOMIO DESSECANTE PREFER,1,ALMOX 4
ALTO 100 FUNGICIDA,19,ALMOX 4
VERTINEC ACARICIDA,5,ALMOX 4
DUAL GOLD PRÉ EMERGENTE,1,ALMOX 4
PRIORI EXTRA FUNGICIDA,115,ALMOX 4
CURYON INSETICIDA,47,ALMOX 4
POQUER HERBICIDA,20,ALMOX 4
REGLONE HERBICIDA,3,ALMOX 4
PLEDGE HERBICIDA,45,ALMOX 4
BAY SISTON HERBICIDA,5,ALMOX 4
YONON DESSECANTE,10,ALMOX 4
POLO ACARICIDA,4,ALMOX 4
TENAZ FUNGICIDA,8,ALMOX 4
ACTARA INSETICIDA,95,ALMOX 4
SCORE FUNGICIDA,3,ALMOX 4
SUMIZIN,28,ALMOX 4
AGRITOATO INSETICIDA,1,ALMOX 4
DURIVO INSETICIDA,10,ALMOX 4
VOLIAN TARGO INSETICIDA,65,ALMOX 4
VERDADEIRO INSETICIDA,100,ALMOX 4
YAMATO HERBICIDA,15,ALMOX 4
SILWET ADESIVO,3,ALMOX 4
MAIS FORTE GOLDE ADESIVO,1,ALMOX 4
DISPERSE ADESIVO,5,ALMOX 4
MIRA ADESIVO,5,ALMOX 4
NIMBUS ADESIVO,8,ALMOX 4
SILVANTO ADESIVO,15,ALMOX 4
BONERIL INSETICIDA BIOLÓGICO,15,ALMOX 4
IMPACT FUNGICIDA,4,ALMOX 4
ROUNDUP HERBICIDA,14,ALMOX 4
CERTANO,20,ALMOX 4
MIRAVIS DUO,35,ALMOX 4
TERRADOR,6,ALMOX 4
BALANÇA ATE 10KG,1,ALMOX 4
KING HUMI,14,ALMOX 5
YARA BASA,24,ALMOX 5
FERTIPAR,310,ALMOX 5
MAP 12 61 00,37,ALMOX 5
UBYFOL,,ALMOX 5
FHCAB,,ALMOX 5
KSC 14-40-5,7,ALMOX 5
FERT FLORADA,1,ALMOX 5
PROFOL MAGNÉSIO,1,ALMOX 5
LITHOCAL,3,ALMOX 5
NUTRI CAB 8,4,ALMOX 5
FROTOIL,3,ALMOX 5
SOLO FORTE BLACK,4,ALMOX 5
FERTIACTYL GZ,12,ALMOX 5
DETOX,2,ALMOX 5
FERT-PEIXE,3,ALMOX 5
GOLD BMO,6,ALMOX 5
KSC MIX,36,ALMOX 5
AMINO MAIS,2,ALMOX 5
FRUTA PLUS MAIS,1,ALMOX 5
CONCORDE,1,ALMOX 5
BALDE MEDIDOR 15 L,1,ALMOX 5
JARRA MEDIDOR,1,ALMOX 5
FERTILIZANTE SULFANO META,14,ALMOX 5
FERTILIZANTE SULFANO META S,28,ALMOX 5
CORONA,42,ALMOX 5
ADUR BR,,ALMOX 5
MAGNÉSIO,100,ALMOX 5
CALCÁRIO,,ALMOX 5
